L,T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
64,1.00000000e+00,9.99273470e-01,3.95918833e-06,1.58847806e-03,2.13818399e-05,-1.99715540e+00,1.44536727e-05,2.34775596e-02,3.00357500e-04
64,1.04999995e+00,9.98922754e-01,5.81329611e-06,2.24028600e-03,2.57646124e-05,-1.99579837e+00,2.04971381e-05,3.12206158e-02,3.37030691e-04
64,1.10000002e+00,9.98456673e-01,7.72828725e-06,3.16720560e-03,5.89904084e-05,-1.99400599e+00,3.06541599e-05,4.13836918e-02,7.78863799e-04
64,1.14999998e+00,9.97802702e-01,7.54218119e-06,4.45155789e-03,5.74338445e-05,-1.99152669e+00,3.01550623e-05,5.40759506e-02,6.38091505e-04
64,1.20000005e+00,9.97037109e-01,9.29873452e-06,5.74951366e-03,6.64055384e-05,-1.98863509e+00,3.59381674e-05,6.58313393e-02,7.70346523e-04
64,1.25000000e+00,9.96011621e-01,1.02076812e-05,7.93084891e-03,8.39326792e-05,-1.98481094e+00,3.50623012e-05,8.46554770e-02,8.94711064e-04
64,1.29999995e+00,9.94760579e-01,1.82544741e-05,1.00055957e-02,8.75823541e-05,-1.98021374e+00,6.32843894e-05,9.95459366e-02,7.65978780e-04
64,1.35000002e+00,9.93284570e-01,1.91132130e-05,1.27967586e-02,1.49228284e-04,-1.97485833e+00,6.92193832e-05,1.18292280e-01,1.17746929e-03
64,1.39999998e+00,9.91438509e-01,2.15913073e-05,1.66442888e-02,2.14892645e-04,-1.96823203e+00,7.51752594e-05,1.43443460e-01,1.75996568e-03
64,1.45000005e+00,9.89147428e-01,2.34421325e-05,2.15265709e-02,2.75387763e-04,-1.96024453e+00,8.45947820e-05,1.69671838e-01,1.97970775e-03
64,1.50000000e+00,9.86489876e-01,1.46847399e-05,2.65642982e-02,3.38757276e-04,-1.95105872e+00,5.50658009e-05,1.94305698e-01,2.46252318e-03
64,1.54999995e+00,9.83351009e-01,2.71849408e-05,3.41930475e-02,4.34275012e-04,-1.94053171e+00,9.25528430e-05,2.29255599e-01,2.36634200e-03
64,1.60000002e+00,9.79651693e-01,2.85001499e-05,4.30942698e-02,6.57318320e-04,-1.92830951e+00,8.64151549e-05,2.63674669e-01,3.72942340e-03
64,1.65000010e+00,9.75222103e-01,4.58676264e-05,5.47346564e-02,6.54757546e-04,-1.91414609e+00,1.22773437e-04,2.98920214e-01,3.02868440e-03
64,1.70000005e+00,9.70142318e-01,4.13525724e-05,6.87060825e-02,6.70513734e-04,-1.89836608e+00,1.26824884e-04,3.41832805e-01,3.51980747e-03
64,1.75000000e+00,9.64025716e-01,4.07667420e-05,8.86972650e-02,1.16065581e-03,-1.87994336e+00,9.97527142e-05,3.93713495e-01,4.24165303e-03
64,1.79999995e+00,9.56721354e-01,5.07079271e-05,1.12226544e-01,1.48436617e-03,-1.85896771e+00,1.22908200e-04,4.34117884e-01,5.20781089e-03
64,1.85000002e+00,9.48426725e-01,5.48251011e-05,1.49726838e-01,1.62329202e-03,-1.83603301e+00,1.41469278e-04,5.02621406e-01,5.44549043e-03
64,1.90000010e+00,9.38354069e-01,6.00307525e-05,1.98342990e-01,3.47731260e-03,-1.80965586e+00,1.10491220e-04,5.59527774e-01,8.41931724e-03
64,1.95000005e+00,9.26142904e-01,9.04632021e-05,2.68424345e-01,3.09259328e-03,-1.77958626e+00,1.68737282e-04,6.24888225e-01,9.93585196e-03
64,2.00000000e+00,9.11312500e-01,1.09820454e-04,3.78278805e-01,5.66523591e-03,-1.74535592e+00,1.71373852e-04,7.10232391e-01,7.30152379e-03
64,2.05000019e+00,8.92895605e-01,1.59942330e-04,5.71187505e-01,9.26076117e-03,-1.70670788e+00,2.79723488e-04,8.28708197e-01,9.96169611e-03
64,2.09999990e+00,8.68826790e-01,2.51126344e-04,9.48822939e-01,2.41964168e-02,-1.66182155e+00,3.42124279e-04,9.80203737e-01,1.17150655e-02
64,2.10999990e+00,8.63029622e-01,2.33681186e-04,1.08918261e+00,4.86697763e-02,-1.65248320e+00,2.69066553e-04,9.83249667e-01,1.44110154e-02
64,2.11999989e+00,8.56969108e-01,2.87568562e-04,1.22461688e+00,3.97579765e-02,-1.64244473e+00,3.10780000e-04,1.03604810e+00,1.21134265e-02
64,2.12999988e+00,8.50534082e-01,2.78280536e-04,1.31455994e+00,2.44727674e-02,-1.63206178e+00,3.28670007e-04,1.04518600e+00,1.46127377e-02
64,2.13999987e+00,8.42827832e-01,5.56247525e-04,1.68175547e+00,1.30427498e-01,-1.62062721e+00,4.23711416e-04,1.11193721e+00,1.76959211e-02
64,2.14999986e+00,8.35766113e-01,4.30656715e-04,1.89656396e+00,1.07921808e-01,-1.60978242e+00,3.01119393e-04,1.14849330e+00,1.47904851e-02
64,2.15999985e+00,8.27533398e-01,4.71311404e-04,2.01150224e+00,5.12117771e-02,-1.59750716e+00,3.08875982e-04,1.17545420e+00,6.33855219e-03
64,2.16999984e+00,8.18960156e-01,6.62035271e-04,2.34270631e+00,1.04876821e-01,-1.58628040e+00,4.90345030e-04,1.22096303e+00,9.81276950e-03
64,2.17999983e+00,8.08057910e-01,5.47977331e-04,3.10374367e+00,2.07604544e-01,-1.57322773e+00,2.87239763e-04,1.30182780e+00,8.38887976e-03
64,2.18999982e+00,7.96048112e-01,8.59793515e-04,3.98370109e+00,2.58409304e-01,-1.55940319e+00,4.36724805e-04,1.37081634e+00,1.55652642e-02
64,2.19999981e+00,7.85515039e-01,1.92318751e-03,5.87240441e+00,1.93411270e+00,-1.54660456e+00,4.68867584e-04,1.41539074e+00,3.70318409e-02
64,2.20999980e+00,7.72857324e-01,1.20184858e-03,5.38066647e+00,4.05253992e-01,-1.53262689e+00,5.69187567e-04,1.46474861e+00,2.44439055e-02
64,2.21999979e+00,7.52320671e-01,1.85127516e-03,8.85070401e+00,7.85107110e-01,-1.51636191e+00,6.67889490e-04,1.59821566e+00,2.91770036e-02
64,2.23000002e+00,7.29205762e-01,4.72318018e-03,1.62907317e+01,3.77696762e+00,-1.49966172e+00,1.17123172e-03,1.72637776e+00,5.02449165e-02
64,2.24000001e+00,7.03946615e-01,3.95415664e-03,2.13130612e+01,2.88358597e+00,-1.48177988e+00,9.72862643e-04,1.84424138e+00,4.40606325e-02
64,2.25000000e+00,6.79881413e-01,4.72192612e-03,2.27021807e+01,3.20967048e+00,-1.46345618e+00,9.89554361e-04,1.90999165e+00,5.78805465e-02
64,2.25999999e+00,6.52528711e-01,5.71838658e-03,2.70898279e+01,3.26159483e+00,-1.44583932e+00,1.28950938e-03,1.97255148e+00,3.96494253e-02
64,2.26999998e+00,5.90774772e-01,7.75878000e-03,4.85486324e+01,3.99923649e+00,-1.42149069e+00,1.65343601e-03,2.18353522e+00,4.03352512e-02
