T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
1.00000000e+00,9.99275700e-01,1.08022114e-06,1.57721924e-03,8.21834529e-06,-1.99715974e+00,4.49335121e-06,2.34949077e-02,1.15078091e-04
1.25000000e+00,9.96019826e-01,3.44355486e-06,7.70202894e-03,3.71596800e-05,-1.98484537e+00,1.20514692e-05,8.23962700e-02,3.96587105e-04
1.50000000e+00,9.86524612e-01,1.08646787e-05,2.66663112e-02,2.11694239e-04,-1.95119600e+00,2.94264236e-05,1.94822500e-01,1.26277190e-03
1.30000000e+00,9.94771972e-01,7.13818193e-06,1.02117613e-02,6.18409929e-05,-1.98026492e+00,2.52365936e-05,1.01226033e-01,5.84148309e-04
1.40000000e+00,9.91383552e-01,8.25641057e-06,1.68902158e-02,6.65567358e-05,-1.96808003e+00,2.54634389e-05,1.44776946e-01,5.99579372e-04
1.55000000e+00,9.83322364e-01,1.53044824e-05,3.43290994e-02,1.67902169e-04,-1.94042584e+00,5.15383207e-05,2.28378862e-01,1.20997654e-03
1.05000000e+00,9.98921208e-01,2.18405227e-06,2.27917848e-03,1.04037341e-05,-1.99578960e+00,8.59638678e-06,3.17933508e-02,1.47332504e-04
1.15000000e+00,9.97824582e-01,2.94694151e-06,4.36067239e-03,2.99039990e-05,-1.99160479e+00,1.05101430e-05,5.33499216e-02,3.41976068e-04
1.45000000e+00,9.89139402e-01,5.47244511e-06,2.13511948e-02,1.31636211e-04,-1.96020583e+00,1.57572914e-05,1.68749743e-01,9.79445317e-04
1.20000000e+00,9.97023950e-01,4.14570818e-06,5.91874488e-03,2.92050299e-05,-1.98859209e+00,1.49712034e-05,6.74466908e-02,2.65389547e-04
1.10000000e+00,9.98451912e-01,2.22641999e-06,3.17097077e-03,1.82737667e-05,-1.99398798e+00,8.60166222e-06,4.13990019e-02,2.41961710e-04
1.35000000e+00,9.93238116e-01,7.28447117e-06,1.31551628e-02,9.26407534e-05,-1.97470657e+00,2.67005558e-05,1.21249926e-01,8.37589993e-04
1.60000000e+00,9.79612130e-01,8.90625215e-06,4.29715705e-02,2.35473845e-04,-1.92821806e+00,3.06248446e-05,2.61075302e-01,1.45201572e-03
1.65000000e+00,9.75232260e-01,8.76118901e-06,5.45236687e-02,2.57098060e-04,-1.91417899e+00,2.72896345e-05,2.99458889e-01,1.87480329e-03
1.70000000e+00,9.70075600e-01,3.06545584e-05,7.00658802e-02,6.73348494e-04,-1.89818295e+00,7.99231303e-05,3.44471181e-01,2.38195518e-03
1.85000000e+00,9.48325756e-01,3.65293717e-05,1.47262408e-01,9.74813175e-04,-1.83580832e+00,5.35209672e-05,4.93272682e-01,2.85479494e-03
1.75000000e+00,9.64029532e-01,1.88131229e-05,8.87488669e-02,6.29050879e-04,-1.87996559e+00,4.60976336e-05,3.88381025e-01,3.19352299e-03
1.90000000e+00,9.38312016e-01,3.30263936e-05,1.94630628e-01,2.28622971e-03,-1.80939433e+00,6.22693574e-05,5.60687573e-01,4.24709518e-03
